name,location,location,location,age,orientation,username
Callaghan Merryn,Austin,Orlando,Dallas,63,Lesbian,gloomyShads4
Zayan Kya,Dallas,New Orleans,Brooklyn,25,Gay,thriftySyrup1
Lord Bauer,Dallas,Brooklyn,Austin,34,Bisexual,sheepishFish0
Adrian Alfaro,Seattle,Minneapolis,Orlando,18,Lesbian,goofyPoultry0
Traynor Barbara,Dallas,Austin,Orlando,18,Transgender,dearCoati6
Adrian Lord,Orlando,Austin,Nashville,70,Transgender,emptyWhiting4
Duggan Merryn,Seattle,Orlando,Austin,74,Queer,grizzledMussel4
Barbara Cuevas,Orlando,Dallas,Minneapolis,22,Queer,goofyCheese9
Elif Adrian,Austin,New Orleans,Orlando,38,Lesbian,jealousShads9
Morales Duggan,New Orleans,Minneapolis,Austin,63,Queer,boredBustard4
Lord Zoya,Orlando,Dallas,Austin,28,Gay,panickyPiglet9
Elif Chase,Orlando,New Orleans,Dallas,34,Transgender,wingedDunbird8
Kyal Callaghan,Minneapolis,Brooklyn,Seattle,73,Transgender,unhappyMare9
Annie Kyal,Seattle,New Orleans,Dallas,27,Queer,curiousSalt7
Rose Barbara,Austin,Brooklyn,Seattle,53,Gay,somberRice6
Alfaro Adrian,Austin,Dallas,Orlando,61,Queer,giddyCrackers0
Lord Traynor,Minneapolis,New Orleans,Austin,47,Transgender,holisticBuzzard8
Chase Zayan,New Orleans,Seattle,Orlando,26,Transgender,affectedEagle4
Annie Zayan,New Orleans,Orlando,Minneapolis,18,Transgender,euphoricSeagull4
Barbara Bauer,Dallas,Seattle,Orlando,56,Gay,shamefulCardinal8
Merryn Traynor,Brooklyn,Orlando,New Orleans,61,Transgender,mellowMuesli4
Merryn Annie,Nashville,Orlando,Brooklyn,73,Bisexual,joyfulChowder9
